t_s,telemetry_age_s,airborne,phase,pos_x,pos_y,pos_z,ref_x,ref_y,ref_z,vel_x,vel_y,vel_z,qw,qx,qy,qz,gyro_x,gyro_y,gyro_z,roll_meas_deg,pitch_meas_deg,yaw_meas_deg,pos_err,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,act_roll_rad,act_pitch_rad,act_yaw_rad,act_thrust_N,cmd_roll_deg,cmd_pitch_deg,cmd_yaw,cmd_pwm
0.0,0.0093,0,1,-0.26894456148147583,0.15682607889175415,-0.0007746382616460323,-0.26968368887901306,0.15767307579517365,-0.0004903754452243447,0.05363075062632561,-0.00034058818710036576,0.000945066858548671,0.995456874370575,-0.0074350484646856785,-0.006307854317128658,0.09470241516828537,0.00018566470383888568,0.009626330735822268,-0.0030353360318975354,-0.9166726181715156,-0.6388703354850893,10.874002811512852,0.0011595337418839335,-0.0007391273975372314,0.0008469969034194946,0.0002842628164216876,0.05363075062632561,-0.00034058818710036576,0.000945066858548671,-0.0074350484646856785,-0.006307854317128658,0.09470241516828537,0.995456874370575,0.00018566469952929765,0.009626330807805061,-0.003035336034372449,-0.0007391273975372314,0.0008469969034194946,0.0002842628164216876,-0.0019710958003997803,0.016490384936332703,0.025284262374043465,-0.005635082721710205,0.031748443841934204,0.050284262746572495,-0.011640846729278564,0.04624547064304352,0.07528426498174667,-0.019840478897094727,0.05962452292442322,0.10028426349163055,-0.03003212809562683,0.07155615091323853,0.12528426945209503,-0.041964828968048096,0.08174654841423035,0.15028426051139832,-0.055344730615615845,0.08994479477405548,0.1752842664718628,-0.0698423981666565,0.09594905376434326,0.20028425753116608,-0.08510082960128784,0.09961143136024475,0.22528426349163055,-1.3776413202285767,-1.5707963705062866,0.23998594284057617,0.20000000298023224,-15.0,-15.0,-0.223035484892764,4000.0
0.0204,0.0093,0,1,-0.26811540126800537,0.1569959968328476,-0.0007718568085692823,-0.26973411440849304,0.16084301471710205,0.0045555997639894485,0.053062666207551956,0.0008198734722100198,0.0009661191143095493,0.9954282641410828,-0.007527531124651432,-0.006349751725792885,0.09499260783195496,0.011643744961476445,-0.0005476736166139661,-0.0020858076614359376,-0.9278661320775735,-0.6423750658105841,10.907509875390495,0.006767685990780592,-0.001618713140487671,0.0038470178842544556,0.005327456630766392,0.053062666207551956,0.0008198734722100198,0.0009661191143095493,-0.007527531124651432,-0.006349751725792885,0.09499260783195496,0.9954282641410828,0.011643745005130768,-0.0005476736114360392,-0.0020858077332377434,-0.001618713140487671,0.0038470178842544556,0.005327456630766392,-0.003345966339111328,0.01944349706172943,0.030327456071972847,-0.007491767406463623,0.03457774221897125,0.05532745644450188,-0.0139540433883667,0.04887710511684418,0.08032745867967606,-0.02257367968559265,0.06198951601982117,0.10532745718955994,-0.0331384539604187,0.07359206676483154,0.13032744824886322,-0.04538816213607788,0.08339908719062805,0.1553274542093277,-0.059021204710006714,0.0911690890789032,0.18032744526863098,-0.07370191812515259,0.09671072661876678,0.20532745122909546,-0.08906880021095276,0.09988759458065033,0.23032745718955994,-1.4205384254455566,-1.5707963705062866,0.23598194122314453,0.20000000298023224,-15.0,-15.0,-0.1560213571374697,8000.0
0.0404,0.0091,0,1,-0.2691635191440582,0.15700538456439972,-0.0014613778330385685,-0.2698858976364136,0.16402393579483032,0.009624149650335312,0.05957011878490448,0.0032692947424948215,-0.0009990333346650004,0.9954580664634705,-0.007554648444056511,-0.00593797629699111,0.09470394998788834,-0.002696035265007879,0.004173707100669483,0.016968007352979313,-0.9262978961381736,-0.595377044392369,10.873866255556477,0.013140426948666573,-0.0007223784923553467,0.007018551230430603,0.011085527017712593,0.05957011878490448,0.0032692947424948215,-0.0009990333346650004,-0.007554648444056511,-0.00593797629699111,0.09470394998788834,0.9954580664634705,-0.002696035197004676,0.004173707216978073,0.016968008130788803,-0.0007223784923553467,0.007018551230430603,0.011085527017712593,-0.0029453635215759277,0.02255210280418396,0.03608552739024162,-0.0075709521770477295,0.03754667937755585,0.0610855296254158,-0.014485269784927368,0.05163303017616272,0.08608552813529968,-0.02351805567741394,0.06446431577205658,0.11108552664518356,-0.034446895122528076,0.07572460174560547,0.13608552515506744,-0.04700267314910889,0.08513659238815308,0.16108551621437073,-0.06087622046470642,0.09246855974197388,0.1860855221748352,-0.07572594285011292,0.09753994643688202,0.21108552813529968,-0.09118616580963135,0.10022591054439545,0.23608551919460297,-1.4229470491409302,-1.5707963705062866,0.2236640453338623,0.20000000298023224,-15.0,-15.0,-0.22330859680552748,12000.0
0.0599,0.0095,0,1,-0.26794126629829407,0.15710414946079254,-0.0014808537671342492,-0.2701323926448822,0.16713036596775055,0.014583924785256386,0.05683453008532524,0.006136109586805105,-0.0007428870885632932,0.9954460859298706,-0.0075394571758806705,-0.006100427359342575,0.0948210209608078,-0.003903427979094115,-0.0009881729444806819,-0.0009178476115927323,-0.9264026544102683,-0.6139643898927523,10.887503433357478,0.019063135609030724,-0.0021911263465881348,0.010026216506958008,0.016064777970314026,0.05683453008532524,0.006136109586805105,-0.0007428870885632932,-0.0075394571758806705,-0.006100427359342575,0.0948210209608078,0.9954460859298706,-0.003903428092598915,-0.0009881729492917657,-0.0009178476175293326,-0.0021911263465881348,0.010026216506958008,0.016064777970314026,-0.004897028207778931,0.025482967495918274,0.041064780205488205,-0.009987592697143555,0.04032611846923828,0.06606478244066238,-0.017337441444396973,0.05419020354747772,0.09106478095054626,-0.026765644550323486,0.06673382222652435,0.11606477946043015,-0.03804001212120056,0.0776481032371521,0.14106477797031403,-0.050882965326309204,0.08666431903839111,0.1660647690296173,-0.0649782121181488,0.09356044232845306,0.1910647749900818,-0.07997876405715942,0.09816668927669525,0.21606476604938507,-0.0955151617527008,0.10036961734294891,0.24106477200984955,-1.438340663909912,-1.5707963705062866,0.23732638359069824,0.20000000298023224,-15.0,-15.0,-0.19603424120352703,16000.0
0.0798,0.0096,0,1,-0.26660844683647156,0.1579274833202362,0.000261592969764024,-0.27047601342201233,0.1702311784029007,0.019549449905753136,0.05439873784780502,0.012086442671716213,0.011391086503863335,0.9954198598861694,-0.007977076806128025,-0.006079798098653555,0.09506136178970337,-0.00021772221287709865,-0.004442616670848332,0.0024773059955796586,-0.9762495227157896,-0.6066177920988153,10.915410807128783,0.023202594369649887,-0.0038675665855407715,0.01230369508266449,0.01928785629570484,0.05439873784780502,0.012086442671716213,0.011391086503863335,-0.007977076806128025,-0.006079798098653555,0.09506136178970337,0.9954198598861694,-0.00021772221953142434,-0.004442616831511259,0.002477305941283703,-0.0038675665855407715,0.01230369508266449,0.01928785629570484,-0.0070542991161346436,0.02766852080821991,0.04428785666823387,-0.012605428695678711,0.04234565794467926,0.06928785890340805,-0.02038419246673584,0.05597372353076935,0.09428785741329193,-0.0301990807056427,0.06821712851524353,0.11928786337375641,-0.04180842638015747,0.07877440750598907,0.1442878544330597,-0.05492636561393738,0.08738560974597931,0.16928786039352417,-0.06922990083694458,0.09383869171142578,0.19428786635398865,-0.0843668282032013,0.09797477722167969,0.21928785741329193,-0.09996438026428223,0.09969198703765869,0.2442878633737564,-1.4080675840377808,-1.5707963705062866,0.2297765016555786,0.20000000298023224,-15.0,-15.0,-0.14021949366093234,20000.0
0.1013,0.0095,0,1,-0.26591426134109497,0.15843459963798523,0.00048521021381020546,-0.2709282636642456,0.1733958125114441,0.024637499824166298,0.04825520142912865,0.017398430034518242,0.011271527968347073,0.9954440593719482,-0.00841896515339613,-0.006760435178875923,0.09472387284040451,0.0039220310955758895,0.04693979130335461,-0.008683284067730543,-1.0338574225095658,-0.6797911884399627,10.877613150157508,0.028849804773926735,-0.005014002323150635,0.014961212873458862,0.02415229007601738,0.04825520142912865,0.017398430034518242,0.011271527968347073,-0.00841896515339613,-0.006760435178875923,0.09472387284040451,0.9954440593719482,0.003922031261026859,0.04693979024887085,-0.008683283813297749,-0.005014002323150635,0.014961212873458862,0.02415229007601738,-0.008690237998962402,0.030216321349143982,0.04915228858590126,-0.01470765471458435,0.04470853507518768,0.07415229082107544,-0.02291804552078247,0.05808098614215851,0.09915228933095932,-0.03311929106712341,0.0700044184923172,0.1241522878408432,-0.045060157775878906,0.08018521964550018,0.14915229380130768,-0.05844661593437195,0.08837272226810455,0.17415228486061096,-0.0729491114616394,0.09436532855033875,0.19915229082107544,-0.08821049332618713,0.09801545739173889,0.22415228188037872,-0.10385498404502869,0.09923321008682251,0.2491522878408432,-1.3866089582443237,-1.5707963705062866,0.24478673934936523,0.20000000298023224,-15.0,-15.0,-0.2158148076034669,24000.0
0.1202,0.009,0,1,-0.2697628140449524,0.15684722363948822,-0.0022369713988155127,-0.2714621126651764,0.17644338309764862,0.029561899602413177,0.043505795300006866,0.01554833073168993,-0.006291936617344618,0.9954316020011902,-0.008187532424926758,-0.006367152556777,0.09490188211202621,0.0038531636743364467,-0.06806502120597473,0.04903620674632976,-1.0032917534963974,-0.6372628298450953,10.89750180928542,0.037390708923339844,-0.001699298620223999,0.0195961594581604,0.031798869371414185,0.043505795300006866,0.01554833073168993,-0.006291936617344618,-0.008187532424926758,-0.006367152556777,0.09490188211202621,0.9954316020011902,0.003853163681924343,-0.06806502491235733,0.04903620854020119,-0.001699298620223999,0.0195961594581604,0.031798869371414185,-0.005845695734024048,0.03473024070262909,0.056798867881298065,-0.01230853796005249,0.04902935028076172,0.08179886639118195,-0.02092871069908142,0.06214141845703125,0.10679887235164642,-0.0314939022064209,0.0737435519695282,0.1317988783121109,-0.043744027614593506,0.08355008065700531,0.15679886937141418,-0.057377398014068604,0.09131954610347748,0.18179887533187866,-0.07205832004547119,0.0968606024980545,0.20679888129234314,-0.08742532134056091,0.1000368744134903,0.23179887235164642,-0.1031000018119812,0.10077010095119476,0.2567988634109497,-1.4711987972259521,-1.5707963705062866,0.24667012691497803,0.20000000298023224,-15.0,-15.0,-0.17603748934764293,28000.0
0.14,0.0091,0,1,-0.26868438720703125,0.15749147534370422,-0.0010080384090542793,-0.27210262417793274,0.17952965199947357,0.03457874804735184,0.041048843413591385,0.019581155851483345,0.00034382485318928957,0.9954642653465271,-0.008515401743352413,-0.006620835047215223,0.09451232850551605,0.027303095760736838,-0.07744141219289846,0.058358872619450344,-1.0432004359216482,-0.6630409001781783,10.853162749047604,0.04199744015932083,-0.0034182369709014893,0.022038176655769348,0.03558678552508354,0.041048843413591385,0.019581155851483345,0.00034382485318928957,-0.008515401743352413,-0.006620835047215223,0.09451232850551605,0.9954642653465271,0.027303095906972885,-0.07744140923023224,0.058358874171972275,-0.0034182369709014893,0.022038176655769348,0.03558678552508354,-0.00803956389427185,0.037034064531326294,0.06058678776025772,-0.01494985818862915,0.05112239718437195,0.0855867937207222,-0.023979008197784424,0.06395626068115234,0.11058679223060608,-0.0349045991897583,0.07521966099739075,0.13558678328990936,-0.04745769500732422,0.08463522791862488,0.16058678925037384,-0.061329156160354614,0.09197115898132324,0.18558678030967712,-0.0761774480342865,0.09704679250717163,0.2105867862701416,-0.09163689613342285,0.09973713755607605,0.23558677732944489,-0.10732689499855042,0.09997600317001343,0.26058679819107056,-1.4606791734695435,-1.5707963705062866,0.23904109001159668,0.20000000298023224,-15.0,-15.0,-0.2647156098232464,32000.0
0.16,0.0098,0,1,-0.26975178718566895,0.15714885294437408,-0.0025753832887858152,-0.2728440761566162,0.18260958790779114,0.03962085023522377,0.04540747031569481,0.020506102591753006,-0.010593154467642307,0.9954252243041992,-0.008037296123802662,-0.006642369087785482,0.09496252238750458,-0.03912224837099513,0.003237341221843574,0.0010529483562873795,-0.9891913310658951,-0.670231500340086,10.9046947907914,0.04937948286533356,-0.0030922889709472656,0.025460734963417053,0.042196232825517654,0.04540747031569481,0.020506102591753006,-0.010593154467642307,-0.008037296123802662,-0.006642369087785482,0.09496252238750458,0.9954252243041992,-0.03912224993109703,0.003237341297790408,0.0010529484134167433,-0.0030922889709472656,0.025460734963417053,0.042196232825517654,-0.008186280727386475,0.04030270874500275,0.06719623506069183,-0.015539377927780151,0.054165080189704895,0.09219623357057571,-0.02497047185897827,0.06670650839805603,0.1171962320804596,-0.0362473726272583,0.07761818170547485,0.14219623804092407,-0.04909241199493408,0.0866314172744751,0.16719622910022736,-0.06318926811218262,0.0935242623090744,0.19219623506069183,-0.0781908631324768,0.09812705218791962,0.21719622611999512,-0.09372779726982117,0.10032637417316437,0.2421962320804596,-0.10941749811172485,0.1000681072473526,0.2671962380409241,-1.4558134078979492,-1.5707963705062866,0.2826434373855591,0.20000000298023224,-15.0,-15.0,-0.16165152633567334,36000.0
0.1798,0.0094,0,1,-0.26850923895835876,0.15755873918533325,-0.0011193377431482077,-0.27366942167282104,0.18561892211437225,0.044587425887584686,0.04455861821770668,0.022117184475064278,0.0011355848982930183,0.9954062700271606,-0.008756750263273716,-0.006476629991084337,0.0951094925403595,-0.23665184006056053,-0.06499989340005086,-0.024484870035593135,-1.0695567611520551,-0.643333742052755,10.921887667737856,0.053880512714385986,-0.00516018271446228,0.028060182929039,0.04570676386356354,0.04455861821770668,0.022117184475064278,0.0011355848982930183,-0.008756750263273716,-0.006476629991084337,0.0951094925403595,0.9954062700271606,-0.23665183782577515,-0.06499989330768585,-0.024484870955348015,-0.00516018271446228,0.028060182929039,0.04570676386356354,-0.010714799165725708,0.0427359938621521,0.07070676237344742,-0.018496811389923096,0.05636219680309296,0.0957067608833313,-0.02831462025642395,0.0686032623052597,0.12070675939321518,-0.039926499128341675,0.0791577696800232,0.14570675790309906,-0.05304649472236633,0.08776584267616272,0.17070674896240234,-0.06735154986381531,0.0942155122756958,0.19570675492286682,-0.08248946070671082,0.09834796190261841,0.2207067608833313,-0.09808745980262756,0.10006147623062134,0.24570675194263458,-0.11376145482063293,0.09931379556655884,0.27070677280426025,-1.348219394683838,-1.5707963705062866,0.31291520595550537,0.20000000298023224,-15.0,-15.0,-0.12726577244278353,40000.0
