controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,slow,0.011943520211174435,0.008655078726844628,0.02269731056902328,1.0,4.7
pid,normal,0.04315875572826324,0.04233501003940656,0.07792609772660264,1.0,1.3
pid,fast,0.14609311916278525,0.14356439783026892,0.25318314959323995,1.0,0.8
adrc,slow,0.08061880018419079,0.0799083077403383,0.10777596585116297,1.0,3.7
adrc,normal,0.09593089846681324,0.0938378231413821,0.16145077818646145,1.0,1.3
adrc,fast,0.171761221513476,0.15722025631169226,0.3560263359532957,1.0,0.8
mppi_l1,slow,0.057296124259508946,0.05140444551117192,0.12603520607483484,1.0,15.0
mppi_l1,normal,0.06043285289140375,0.053913016752777855,0.10828566036042672,1.0,5.7
mppi_l1,fast,0.302840549645104,0.28978610921293113,0.657367563982764,1.0,3.6
mpc,slow,0.009115124530561809,0.00803168647910287,0.04415799844150463,1.0,50.7
mpc,normal,0.12137908680352337,0.08288851266736164,0.7713078162608397,1.0,26.9
mpc,fast,0.06675599340559177,0.055626681198340654,0.16106197844516462,1.0,25.2
datt,slow,0.029931655632895984,0.029328222123829174,0.0656519645786547,1.0,1.5
datt,normal,0.07161801422974146,0.06979111629076185,0.13323598211829787,1.0,1.8
datt,fast,0.1063680879165871,0.1022115164441563,0.23738460981312903,1.0,1.8
