controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.043477748472421585,0.043114486328378034,0.07259336149430541,1.0,2.6
pid,fast,0.15890107185401053,0.15684136974303248,0.30783117372824653,1.0,0.8
adrc,normal,0.06131035400428361,0.06065051195345305,0.1485349352644488,1.0,1.4
adrc,fast,0.1956060749342502,0.19096012544884108,0.4735178071836521,1.0,1.0
mpc_offsetfree,normal,0.1290131513452055,0.10478506722245806,0.8558489384438129,1.0,22.7
mpc_offsetfree,fast,0.13854664599922584,0.10594799737566207,0.43591620133180176,1.0,18.9
datt,normal,0.07061127400562105,0.06674692135008435,0.20938954651501956,1.0,1.7
datt,fast,0.5050313745785108,0.49524450864255104,0.9864378241135238,1.0,1.0
datt2,normal,0.06862350748087115,0.06115865049123965,0.15619747365699443,1.0,1.6
datt2,fast,0.12200882484040095,0.11689067453917602,0.25443302817198016,1.0,1.0
