controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,slow,0.011828210591391844,0.011514221406133692,0.017724376118868203,1.0,9.6
pid,normal,0.022235785433348646,0.0213872517559187,0.03310568874736168,1.0,3.1
pid,fast,0.08800077271372723,0.08598272707553006,0.14722234017839153,1.0,1.8
adrc,slow,0.00477109816322769,0.004349332425537183,0.032705543967502373,1.0,6.6
adrc,normal,0.022636844460511975,0.02222242918880157,0.09366727013715825,1.0,2.9
adrc,fast,0.09844932638986104,0.09425411255548974,0.270085584434987,1.0,1.7
mppi_l1,slow,0.022796702150100875,0.015597880398786646,0.05777179613329087,1.0,46.2
mppi_l1,normal,0.03507192727132741,0.0319299935343471,0.06676648360339474,1.0,19.7
mppi_l1,fast,0.06767576012464642,0.06494925866768703,0.16051105759760573,1.0,11.1
mpc_offsetfree,slow,0.004138726203496279,0.0041161704203037,0.03825012871954072,1.0,87.0
mpc_offsetfree,normal,0.03608256874401459,0.035206227201991964,0.25707720821598007,1.0,41.0
mpc_offsetfree,fast,0.05217094286421489,0.05065409569664067,0.16488296410805475,1.0,36.0
datt,slow,0.05493101595932454,0.03855915806427903,0.08752817063482013,1.0,5.6
datt,normal,0.08913620132215988,0.07882587164140298,0.16364371658413204,1.0,3.2
datt,fast,0.16251530210235743,0.15602695413618267,0.24832209930898416,1.0,1.8
